Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Law,Press_Freedom,Political_Rights,Inequality,Schooling,armed_conflicts,Unemployment rate
Moldova,Commonwealth of Independent States,5.766,9.454,0.857,65.699,0.822,-0.079,0.918,39.18041047,79.29843497,69.04761905,35.13,11.82159042,0.0,3.96
Mongolia,East Asia,5.677,9.4,0.935,62.5,0.708,0.116,0.856,41.8927497,63.86400432,90.47619048,42.9,9.423700333,0.0,7.08
Morocco,Middle East and North Africa,4.918,8.903,0.56,66.208,0.774,-0.236,0.801,41.18326102,49.02320561,35.71428571,49.43,5.916,1.0,11.47
Mozambique,Sub-Saharan Africa,4.794,7.158,0.744,54.706,0.882,0.061,0.684,21.28652864,53.84781436,38.0952381,64.63,3.197641838,1.0,3.98
Myanmar,Southeast Asia,4.426,8.541,0.779,59.302,0.876,0.509,0.66,10.56837216,27.0156503,4.761904762,42.93,6.37680006,1.0,2.17
Namibia,Sub-Saharan Africa,4.574,9.161,0.818,56.799,0.719,-0.149,0.847,56.84760136,88.33243389,78.57142857,64.2,7.192013277,0.0,21.68
Nepal,South Asia,5.269,8.12,0.774,64.233,0.782,0.152,0.727,35.75191794,67.64166217,64.28571429,41.47,5.121792742,0.0,5.05
Netherlands,Western Europe,7.464,10.932,0.942,72.4,0.913,0.175,0.338,91.89370802,84.1122504,97.61904762,29.51,12.58162975,0.0,4.01
New Zealand,North America and ANZ,7.277,10.643,0.948,73.4,0.929,0.134,0.242,93.9034894,90.16729628,100.0,34.57,12.94468975,0.0,4.12
Nicaragua,Latin America and Caribbean,5.972,8.62,0.864,67.657,0.836,0.02,0.664,13.11793651,40.03237992,16.66666667,53.31,7.144,0.0,5.96
Niger,Sub-Saharan Africa,5.074,7.098,0.641,53.78,0.806,0.018,0.693,37.32539195,73.17862925,59.52380952,49.19,2.116717299,1.0,0.75
Nigeria,Sub-Saharan Africa,4.759,8.533,0.74,50.102,0.737,0.037,0.878,25.85119271,50.50188883,52.38095238,42.72,7.181074153,1.0,9.79
North Macedonia,Central and Eastern Europe,5.101,9.693,0.805,65.474,0.751,0.038,0.905,45.69633576,73.86940097,71.42857143,31.75,10.22815037,0.0,16.2
